ZONE,ENTITY,SUB_ENTITY,RAW_FILENAME,FILE_SIZE
Europe,FR-001,Antony-PF,e70e89f7/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_151233_439.zip,2281
Europe,FR-001,Antony-PF,360c31bd/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_235810_884.zip,2262
Europe,FR-001,Antony-PF,9a4c11b6/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_060316_885.zip,2262
Europe,FR-001,Antony-PF,4f2f8532/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_01_JobState_28239.log/20200702_001248_884.zip,2261
Europe,FR-001,Antony-PF,6eb49dce/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_151253_884.zip,2232
Europe,FR-001,Antony-PF,178532b3/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200704_014141_475.zip,2230
Europe,FR-001,Antony-PF,0029db84/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_02_JobState_28180.log/20200702_035814_884.zip,2216
Europe,FR-001,Antony-PF,6250217b/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_135724_560.zip,2204
Europe,FR-001,Antony-PF,dbefa4e6/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_02_JobState_28180.log/20200702_235825_646.zip,2188
Europe,FR-001,Antony-PF,17ad61a3/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200704_000210_572.zip,2165
Europe,FR-001,Antony-PF,e54a918d/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_195335_575.zip,2145
Europe,FR-001,Antony-PF,0ef7fd61/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_105633_660.zip,2143
Europe,FR-001,Antony-PF,22d5e62f/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_190152_877.zip,2140
Europe,FR-001,Antony-PF,ca02ac45/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_100212_781.zip,2129
Europe,FR-001,Antony-PF,f0d7476a/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_180251_884.zip,2124
Europe,FR-001,Antony-PF,1c888a5d/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_115833_884.zip,2108
Europe,FR-001,Antony-PF,2b2ffc8d/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_02_JobState_28180.log/20200702_075744_915.zip,2097
Europe,FR-001,Antony-PF,97cabb91/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_171042_876.zip,2084
Europe,FR-001,Antony-PF,81b2fa41/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/Status/2020_07_02_MachineState_28266.log/20200702_155131_572.zip,2080
Europe,FR-001,Antony-PF,bb87560e/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_031243_884.zip,2057
Europe,FR-001,Antony-PF,844b656d/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_205149_799.zip,2057
Europe,FR-001,Antony-PF,3ce504d1/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_115748_305.zip,2041
